Category;Criteria;attribute;string_condition;min_value;max_value;value;weight_standard;weight_child;weight_senior;weight_woman;weight_wheelchair
Comfort;Sidewalk availability;sidewalk;yes;;;100;0.07;0.164;0.211;0.102;0.162
Comfort;Sidewalk availability;sidewalk;both;;;100;0.07;0.164;0.211;0.102;0.162
Comfort;Sidewalk availability;sidewalk;right;;;80;0.07;0.164;0.211;0.102;0.162
Comfort;Sidewalk availability;sidewalk;left;;;80;0.07;0.164;0.211;0.102;0.162
Comfort;Sidewalk availability;sidewalk;no;;;0;0.07;0.164;0.211;0.102;0.162
Comfort;Sidewalk width;sidewalk_width_num;;;1.5;20;0.07;0.027;0.102;0.08;0.11
Comfort;Sidewalk width;sidewalk_width_num;;1.5;3;50;0.07;0.027;0.102;0.08;0.11
Comfort;Sidewalk width;sidewalk_width_num;;3;;100;0.07;0.027;0.102;0.08;0.11
Comfort;Pavement quality;smoothness;excellent;;;100;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;smoothness;very_good;;;100;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;smoothness;good;;;90;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;smoothness;intermediate;;;50;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;smoothness;bad;;;20;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;smoothness;very_bad;;;20;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;smoothness;horrible;;;10;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;smoothness;very_horrible;;;10;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;smoothness;impassable;;;0;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;surface;paved;;;100;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;surface;asphalt;;;100;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;surface;concrete;;;100;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;surface;concrete:lanes;;;100;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;surface;paving_stones;;;100;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;surface;cobblestone:flattened;;;100;0.035;0.0145;0.0245;0.0165;0.0545
Comfort;Pavement quality;surface;stone;;;80;0.035;0.0145;0.0245;0.0165;0.0545
